# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_xyXFHCKc","[""IMG-0001-00001.jpg""]",0,"[]","[6,299.503,201.342,295.599,203.015,294.484,208.035,294.484,211.939,295.041,214.728,294.484,218.632,292.253,220.863,289.464,224.209,285.002,226.998,281.098,226.998]","{}"
"2_cvsRIFVz","[""IMG-0002-00001.jpg""]",0,"[]","[6,257.115,179.033,253.211,182.379,251.538,185.725,250.423,189.63,248.749,192.418,246.519,194.649,242.614,196.88,240.941,197.438,237.595,197.996]","{}"
"3_WxV6apQD","[""IMG-0003-00001.jpg""]",0,"[]","[6,253.211,192.418,249.865,196.88,249.307,199.669,248.749,202.458,248.749,206.919,246.519,211.381,244.288,213.612]","{}"
"4_p478XtXD","[""IMG-0004-00001.jpg""]",0,"[]","[6,315.678,234.806,310.658,237.595,309.542,239.826,307.312,244.288,305.638,245.961,301.734,247.076]","{}"
"5_bbhD2XOE","[""IMG-0005-00001.jpg""]",0,"[]","[6,238.71,195.207,236.479,199.669,235.364,205.804,231.46,210.266,227.556,213.054,224.767,213.612,221.42,214.728,216.959,214.728]","{}"
"6_A2GoP6Mo","[""IMG-0006-00001.jpg""]",0,"[]","[6,267.155,218.074,262.135,220.305,262.135,223.651,261.577,228.671,258.231,232.575,256,237.037,252.654,239.268,248.192,240.383]","{}"
"7_av0JXtjh","[""IMG-0007-00001.jpg""]",0,"[]","[6,279.983,248.749,276.636,252.096,276.078,256,273.847,261.577,269.943,266.597,264.924,269.943,261.02,269.943]","{}"
"8_RtXxY3Yv","[""IMG-0008-00001.jpg""]",0,"[]","[6,281.098,162.301,276.636,166.205,272.732,170.667,272.732,176.802,268.27,181.821,264.366,184.052]","{}"
"9_UmqXk03g","[""IMG-0009-00001.jpg""]",0,"[]","[6,287.791,213.054,283.329,215.843,282.214,218.632,280.54,224.209,277.752,228.671,274.963,232.017,271.617,233.133]","{}"
"10_jEkeaTS0","[""IMG-0010-00001.jpg""]",0,"[]","[6,296.715,200.784,294.484,202.458,291.695,207.477,291.695,214.17,290.58,217.516,287.791,221.42,284.444,224.209,281.098,224.767]","{}"
